yearmonth,spots,incr,year,month
1749-01,58.0,1,1749,01
1749-02,62.6,2,1749,02
1749-03,70.0,3,1749,03
1749-04,55.7,4,1749,04
1749-05,85.0,5,1749,05
1749-06,83.5,6,1749,06
1749-07,94.8,7,1749,07
1749-08,66.3,8,1749,08
1749-09,75.9,9,1749,09
1749-10,75.5,10,1749,10
1749-11,158.6,11,1749,11
1749-12,85.2,12,1749,12
1750-01,73.3,13,1750,01
1750-02,75.9,14,1750,02
1750-03,89.2,15,1750,03
1750-04,88.3,16,1750,04
1750-05,90.0,17,1750,05
1750-06,100.0,18,1750,06
1750-07,85.4,19,1750,07
1750-08,103.0,20,1750,08
1750-09,91.2,21,1750,09
1750-10,65.7,22,1750,10
1750-11,63.3,23,1750,11
1750-12,75.4,24,1750,12
1751-01,70.0,25,1751,01
1751-02,43.5,26,1751,02
1751-03,45.3,27,1751,03
1751-04,56.4,28,1751,04
1751-05,60.7,29,1751,05
1751-06,50.7,30,1751,06
1751-07,66.3,31,1751,07
1751-08,59.8,32,1751,08
1751-09,23.5,33,1751,09
1751-10,23.2,34,1751,10
1751-11,28.5,35,1751,11
1751-12,44.0,36,1751,12
1752-01,35.0,37,1752,01
1752-02,50.0,38,1752,02
1752-03,71.0,39,1752,03
1752-04,59.3,40,1752,04
1752-05,59.7,41,1752,05
1752-06,39.6,42,1752,06
1752-07,78.4,43,1752,07
1752-08,29.3,44,1752,08
1752-09,27.1,45,1752,09
1752-10,46.6,46,1752,10
1752-11,37.6,47,1752,11
1752-12,40.0,48,1752,12
1753-01,44.0,49,1753,01
1753-02,32.0,50,1753,02
1753-03,45.7,51,1753,03
1753-04,38.0,52,1753,04
1753-05,36.0,53,1753,05
1753-06,31.7,54,1753,06
1753-07,22.2,55,1753,07
1753-08,39.0,56,1753,08
1753-09,28.0,57,1753,09
1753-10,25.0,58,1753,10
1753-11,20.0,59,1753,11
1753-12,6.7,60,1753,12
1754-01,0.0,61,1754,01
1754-02,3.0,62,1754,02
1754-03,1.7,63,1754,03
1754-04,13.7,64,1754,04
1754-05,20.7,65,1754,05
1754-06,26.7,66,1754,06
1754-07,18.8,67,1754,07
1754-08,12.3,68,1754,08
1754-09,8.2,69,1754,09
1754-10,24.1,70,1754,10
1754-11,13.2,71,1754,11
1754-12,4.2,72,1754,12
1755-01,10.2,73,1755,01
1755-02,11.2,74,1755,02
1755-03,6.8,75,1755,03
1755-04,6.5,76,1755,04
1755-05,0.0,77,1755,05
1755-06,0.0,78,1755,06
1755-07,8.6,79,1755,07
1755-08,3.2,80,1755,08
1755-09,17.8,81,1755,09
1755-10,23.7,82,1755,10
1755-11,6.8,83,1755,11
1755-12,20.0,84,1755,12
1756-01,12.5,85,1756,01
1756-02,7.1,86,1756,02
1756-03,5.4,87,1756,03
1756-04,9.4,88,1756,04
1756-05,12.5,89,1756,05
1756-06,12.9,90,1756,06
1756-07,3.6,91,1756,07
1756-08,6.4,92,1756,08
1756-09,11.8,93,1756,09
1756-10,14.3,94,1756,10
1756-11,17.0,95,1756,11
1756-12,9.4,96,1756,12
1757-01,14.1,97,1757,01
1757-02,21.2,98,1757,02
1757-03,26.2,99,1757,03
1757-04,30.0,100,1757,04
1757-05,38.1,101,1757,05
1757-06,12.8,102,1757,06
1757-07,25.0,103,1757,07
1757-08,51.3,104,1757,08
1757-09,39.7,105,1757,09
1757-10,32.5,106,1757,10
1757-11,64.7,107,1757,11
1757-12,33.5,108,1757,12
1758-01,37.6,109,1758,01
1758-02,52.0,110,1758,02
1758-03,49.0,111,1758,03
1758-04,72.3,112,1758,04
1758-05,46.4,113,1758,05
1758-06,45.0,114,1758,06
1758-07,44.0,115,1758,07
1758-08,38.7,116,1758,08
1758-09,62.5,117,1758,09
1758-10,37.7,118,1758,10
1758-11,43.0,119,1758,11
1758-12,43.0,120,1758,12
1759-01,48.3,121,1759,01
1759-02,44.0,122,1759,02
1759-03,46.8,123,1759,03
1759-04,47.0,124,1759,04
1759-05,49.0,125,1759,05
1759-06,50.0,126,1759,06
1759-07,51.0,127,1759,07
1759-08,71.3,128,1759,08
1759-09,77.2,129,1759,09
1759-10,59.7,130,1759,10
1759-11,46.3,131,1759,11
1759-12,57.0,132,1759,12
1760-01,67.3,133,1760,01
1760-02,59.5,134,1760,02
1760-03,74.7,135,1760,03
1760-04,58.3,136,1760,04
1760-05,72.0,137,1760,05
1760-06,48.3,138,1760,06
1760-07,66.0,139,1760,07
1760-08,75.6,140,1760,08
1760-09,61.3,141,1760,09
1760-10,50.6,142,1760,10
1760-11,59.7,143,1760,11
1760-12,61.0,144,1760,12
1761-01,70.0,145,1761,01
1761-02,91.0,146,1761,02
1761-03,80.7,147,1761,03
1761-04,71.7,148,1761,04
1761-05,107.2,149,1761,05
1761-06,99.3,150,1761,06
1761-07,94.1,151,1761,07
1761-08,91.1,152,1761,08
1761-09,100.7,153,1761,09
1761-10,88.7,154,1761,10
1761-11,89.7,155,1761,11
1761-12,46.0,156,1761,12
1762-01,43.8,157,1762,01
1762-02,72.8,158,1762,02
1762-03,45.7,159,1762,03
1762-04,60.2,160,1762,04
1762-05,39.9,161,1762,05
1762-06,77.1,162,1762,06
1762-07,33.8,163,1762,07
1762-08,67.7,164,1762,08
1762-09,68.5,165,1762,09
1762-10,69.3,166,1762,10
1762-11,77.8,167,1762,11
1762-12,77.2,168,1762,12
1763-01,56.5,169,1763,01
1763-02,31.9,170,1763,02
1763-03,34.2,171,1763,03
1763-04,32.9,172,1763,04
1763-05,32.7,173,1763,05
1763-06,35.8,174,1763,06
1763-07,54.2,175,1763,07
1763-08,26.5,176,1763,08
1763-09,68.1,177,1763,09
1763-10,46.3,178,1763,10
1763-11,60.9,179,1763,11
1763-12,61.4,180,1763,12
1764-01,59.7,181,1764,01
1764-02,59.7,182,1764,02
1764-03,40.2,183,1764,03
1764-04,34.4,184,1764,04
1764-05,44.3,185,1764,05
1764-06,30.0,186,1764,06
1764-07,30.0,187,1764,07
1764-08,30.0,188,1764,08
1764-09,28.2,189,1764,09
1764-10,28.0,190,1764,10
1764-11,26.0,191,1764,11
1764-12,25.7,192,1764,12
1765-01,24.0,193,1765,01
1765-02,26.0,194,1765,02
1765-03,25.0,195,1765,03
1765-04,22.0,196,1765,04
1765-05,20.2,197,1765,05
1765-06,20.0,198,1765,06
1765-07,27.0,199,1765,07
1765-08,29.7,200,1765,08
1765-09,16.0,201,1765,09
1765-10,14.0,202,1765,10
1765-11,14.0,203,1765,11
1765-12,13.0,204,1765,12
1766-01,12.0,205,1766,01
1766-02,11.0,206,1766,02
1766-03,36.6,207,1766,03
1766-04,6.0,208,1766,04
1766-05,26.8,209,1766,05
1766-06,3.0,210,1766,06
1766-07,3.3,211,1766,07
1766-08,4.0,212,1766,08
1766-09,4.3,213,1766,09
1766-10,5.0,214,1766,10
1766-11,5.7,215,1766,11
1766-12,19.2,216,1766,12
1767-01,27.4,217,1767,01
1767-02,30.0,218,1767,02
1767-03,43.0,219,1767,03
1767-04,32.9,220,1767,04
1767-05,29.8,221,1767,05
1767-06,33.3,222,1767,06
1767-07,21.9,223,1767,07
1767-08,40.8,224,1767,08
1767-09,42.7,225,1767,09
1767-10,44.1,226,1767,10
1767-11,54.7,227,1767,11
1767-12,53.3,228,1767,12
1768-01,53.5,229,1768,01
1768-02,66.1,230,1768,02
1768-03,46.3,231,1768,03
1768-04,42.7,232,1768,04
1768-05,77.7,233,1768,05
1768-06,77.4,234,1768,06
1768-07,52.6,235,1768,07
1768-08,66.8,236,1768,08
1768-09,74.8,237,1768,09
1768-10,77.8,238,1768,10
1768-11,90.6,239,1768,11
1768-12,111.8,240,1768,12
1769-01,73.9,241,1769,01
1769-02,64.2,242,1769,02
1769-03,64.3,243,1769,03
1769-04,96.7,244,1769,04
1769-05,73.6,245,1769,05
1769-06,94.4,246,1769,06
1769-07,118.6,247,1769,07
1769-08,120.3,248,1769,08
1769-09,148.8,249,1769,09
1769-10,158.2,250,1769,10
1769-11,148.1,251,1769,11
1769-12,112.0,252,1769,12
1770-01,104.0,253,1770,01
1770-02,142.5,254,1770,02
1770-03,80.1,255,1770,03
1770-04,51.0,256,1770,04
1770-05,70.1,257,1770,05
1770-06,83.3,258,1770,06
1770-07,109.8,259,1770,07
1770-08,126.3,260,1770,08
1770-09,104.4,261,1770,09
1770-10,103.6,262,1770,10
1770-11,132.2,263,1770,11
1770-12,102.3,264,1770,12
1771-01,36.0,265,1771,01
1771-02,46.2,266,1771,02
1771-03,46.7,267,1771,03
1771-04,64.9,268,1771,04
1771-05,152.7,269,1771,05
1771-06,119.5,270,1771,06
1771-07,67.7,271,1771,07
1771-08,58.5,272,1771,08
1771-09,101.4,273,1771,09
1771-10,90.0,274,1771,10
1771-11,99.7,275,1771,11
1771-12,95.7,276,1771,12
1772-01,100.9,277,1772,01
1772-02,90.8,278,1772,02
1772-03,31.1,279,1772,03
1772-04,92.2,280,1772,04
1772-05,38.0,281,1772,05
1772-06,57.0,282,1772,06
1772-07,77.3,283,1772,07
1772-08,56.2,284,1772,08
1772-09,50.5,285,1772,09
1772-10,78.6,286,1772,10
1772-11,61.3,287,1772,11
1772-12,64.0,288,1772,12
1773-01,54.6,289,1773,01
1773-02,29.0,290,1773,02
1773-03,51.2,291,1773,03
1773-04,32.9,292,1773,04
1773-05,41.1,293,1773,05
1773-06,28.4,294,1773,06
1773-07,27.7,295,1773,07
1773-08,12.7,296,1773,08
1773-09,29.3,297,1773,09
1773-10,26.3,298,1773,10
1773-11,40.9,299,1773,11
1773-12,43.2,300,1773,12
1774-01,46.8,301,1774,01
1774-02,65.4,302,1774,02
1774-03,55.7,303,1774,03
1774-04,43.8,304,1774,04
1774-05,51.3,305,1774,05
1774-06,28.5,306,1774,06
1774-07,17.5,307,1774,07
1774-08,6.6,308,1774,08
1774-09,7.9,309,1774,09
1774-10,14.0,310,1774,10
1774-11,17.7,311,1774,11
1774-12,12.2,312,1774,12
1775-01,4.4,313,1775,01
1775-02,0.0,314,1775,02
1775-03,11.6,315,1775,03
1775-04,11.2,316,1775,04
1775-05,3.9,317,1775,05
1775-06,12.3,318,1775,06
1775-07,1.0,319,1775,07
1775-08,7.9,320,1775,08
1775-09,3.2,321,1775,09
1775-10,5.6,322,1775,10
1775-11,15.1,323,1775,11
1775-12,7.9,324,1775,12
1776-01,21.7,325,1776,01
1776-02,11.6,326,1776,02
1776-03,6.3,327,1776,03
1776-04,21.8,328,1776,04
1776-05,11.2,329,1776,05
1776-06,19.0,330,1776,06
1776-07,1.0,331,1776,07
1776-08,24.2,332,1776,08
1776-09,16.0,333,1776,09
1776-10,30.0,334,1776,10
1776-11,35.0,335,1776,11
1776-12,40.0,336,1776,12
1777-01,45.0,337,1777,01
1777-02,36.5,338,1777,02
1777-03,39.0,339,1777,03
1777-04,95.5,340,1777,04
1777-05,80.3,341,1777,05
1777-06,80.7,342,1777,06
1777-07,95.0,343,1777,07
1777-08,112.0,344,1777,08
1777-09,116.2,345,1777,09
1777-10,106.5,346,1777,10
1777-11,146.0,347,1777,11
1777-12,157.3,348,1777,12
1778-01,177.3,349,1778,01
1778-02,109.3,350,1778,02
1778-03,134.0,351,1778,03
1778-04,145.0,352,1778,04
1778-05,238.9,353,1778,05
1778-06,171.6,354,1778,06
1778-07,153.0,355,1778,07
1778-08,140.0,356,1778,08
1778-09,171.7,357,1778,09
1778-10,156.3,358,1778,10
1778-11,150.3,359,1778,11
1778-12,105.0,360,1778,12
1779-01,114.7,361,1779,01
1779-02,165.7,362,1779,02
1779-03,118.0,363,1779,03
1779-04,145.0,364,1779,04
1779-05,140.0,365,1779,05
1779-06,113.7,366,1779,06
1779-07,143.0,367,1779,07
1779-08,112.0,368,1779,08
1779-09,111.0,369,1779,09
1779-10,124.0,370,1779,10
1779-11,114.0,371,1779,11
1779-12,110.0,372,1779,12
1780-01,70.0,373,1780,01
1780-02,98.0,374,1780,02
1780-03,98.0,375,1780,03
1780-04,95.0,376,1780,04
1780-05,107.2,377,1780,05
1780-06,88.0,378,1780,06
1780-07,86.0,379,1780,07
1780-08,86.0,380,1780,08
1780-09,93.7,381,1780,09
1780-10,77.0,382,1780,10
1780-11,60.0,383,1780,11
1780-12,58.7,384,1780,12
1781-01,98.7,385,1781,01
1781-02,74.7,386,1781,02
1781-03,53.0,387,1781,03
1781-04,68.3,388,1781,04
1781-05,104.7,389,1781,05
1781-06,97.7,390,1781,06
1781-07,73.5,391,1781,07
1781-08,66.0,392,1781,08
1781-09,51.0,393,1781,09
1781-10,27.3,394,1781,10
1781-11,67.0,395,1781,11
1781-12,35.2,396,1781,12
1782-01,54.0,397,1782,01
1782-02,37.5,398,1782,02
1782-03,37.0,399,1782,03
1782-04,41.0,400,1782,04
1782-05,54.3,401,1782,05
1782-06,38.0,402,1782,06
1782-07,37.0,403,1782,07
1782-08,44.0,404,1782,08
1782-09,34.0,405,1782,09
1782-10,23.2,406,1782,10
1782-11,31.5,407,1782,11
1782-12,30.0,408,1782,12
1783-01,28.0,409,1783,01
1783-02,38.7,410,1783,02
1783-03,26.7,411,1783,03
1783-04,28.3,412,1783,04
1783-05,23.0,413,1783,05
1783-06,25.2,414,1783,06
1783-07,32.2,415,1783,07
1783-08,20.0,416,1783,08
1783-09,18.0,417,1783,09
1783-10,8.0,418,1783,10
1783-11,15.0,419,1783,11
1783-12,10.5,420,1783,12
1784-01,13.0,421,1784,01
1784-02,8.0,422,1784,02
1784-03,11.0,423,1784,03
1784-04,10.0,424,1784,04
1784-05,6.0,425,1784,05
1784-06,9.0,426,1784,06
1784-07,6.0,427,1784,07
1784-08,10.0,428,1784,08
1784-09,10.0,429,1784,09
1784-10,8.0,430,1784,10
1784-11,17.0,431,1784,11
1784-12,14.0,432,1784,12
1785-01,6.5,433,1785,01
1785-02,8.0,434,1785,02
1785-03,9.0,435,1785,03
1785-04,15.7,436,1785,04
1785-05,20.7,437,1785,05
1785-06,26.3,438,1785,06
1785-07,36.3,439,1785,07
1785-08,20.0,440,1785,08
1785-09,32.0,441,1785,09
1785-10,47.2,442,1785,10
1785-11,40.2,443,1785,11
1785-12,27.3,444,1785,12
1786-01,37.2,445,1786,01
1786-02,47.6,446,1786,02
1786-03,47.7,447,1786,03
1786-04,85.4,448,1786,04
1786-05,92.3,449,1786,05
1786-06,59.0,450,1786,06
1786-07,83.0,451,1786,07
1786-08,89.7,452,1786,08
1786-09,111.5,453,1786,09
1786-10,112.3,454,1786,10
1786-11,116.0,455,1786,11
1786-12,112.7,456,1786,12
1787-01,134.7,457,1787,01
1787-02,106.0,458,1787,02
1787-03,87.4,459,1787,03
1787-04,127.2,460,1787,04
1787-05,134.8,461,1787,05
1787-06,99.2,462,1787,06
1787-07,128.0,463,1787,07
1787-08,137.2,464,1787,08
1787-09,157.3,465,1787,09
1787-10,157.0,466,1787,10
1787-11,141.5,467,1787,11
1787-12,174.0,468,1787,12
1788-01,138.0,469,1788,01
1788-02,129.2,470,1788,02
1788-03,143.3,471,1788,03
1788-04,108.5,472,1788,04
1788-05,113.0,473,1788,05
1788-06,154.2,474,1788,06
1788-07,141.5,475,1788,07
1788-08,136.0,476,1788,08
1788-09,141.0,477,1788,09
1788-10,142.0,478,1788,10
1788-11,94.7,479,1788,11
1788-12,129.5,480,1788,12
1789-01,114.0,481,1789,01
1789-02,125.3,482,1789,02
1789-03,120.0,483,1789,03
1789-04,123.3,484,1789,04
1789-05,123.5,485,1789,05
1789-06,120.0,486,1789,06
1789-07,117.0,487,1789,07
1789-08,103.0,488,1789,08
1789-09,112.0,489,1789,09
1789-10,89.7,490,1789,10
1789-11,134.0,491,1789,11
1789-12,135.5,492,1789,12
1790-01,103.0,493,1790,01
1790-02,127.5,494,1790,02
1790-03,96.3,495,1790,03
1790-04,94.0,496,1790,04
1790-05,93.0,497,1790,05
1790-06,91.0,498,1790,06
1790-07,69.3,499,1790,07
1790-08,87.0,500,1790,08
1790-09,77.3,501,1790,09
1790-10,84.3,502,1790,10
1790-11,82.0,503,1790,11
1790-12,74.0,504,1790,12
1791-01,72.7,505,1791,01
1791-02,62.0,506,1791,02
1791-03,74.0,507,1791,03
1791-04,77.2,508,1791,04
1791-05,73.7,509,1791,05
1791-06,64.2,510,1791,06
1791-07,71.0,511,1791,07
1791-08,43.0,512,1791,08
1791-09,66.5,513,1791,09
1791-10,61.7,514,1791,10
1791-11,67.0,515,1791,11
1791-12,66.0,516,1791,12
1792-01,58.0,517,1792,01
1792-02,64.0,518,1792,02
1792-03,63.0,519,1792,03
1792-04,75.7,520,1792,04
1792-05,62.0,521,1792,05
1792-06,61.0,522,1792,06
1792-07,45.8,523,1792,07
1792-08,60.0,524,1792,08
1792-09,59.0,525,1792,09
1792-10,59.0,526,1792,10
1792-11,57.0,527,1792,11
1792-12,56.0,528,1792,12
1793-01,56.0,529,1793,01
1793-02,55.0,530,1793,02
1793-03,55.5,531,1793,03
1793-04,53.0,532,1793,04
1793-05,52.3,533,1793,05
1793-06,51.0,534,1793,06
1793-07,50.0,535,1793,07
1793-08,29.3,536,1793,08
1793-09,24.0,537,1793,09
1793-10,47.0,538,1793,10
1793-11,44.0,539,1793,11
1793-12,45.7,540,1793,12
1794-01,45.0,541,1794,01
1794-02,44.0,542,1794,02
1794-03,38.0,543,1794,03
1794-04,28.4,544,1794,04
1794-05,55.7,545,1794,05
1794-06,41.5,546,1794,06
1794-07,41.0,547,1794,07
1794-08,40.0,548,1794,08
1794-09,11.1,549,1794,09
1794-10,28.5,550,1794,10
1794-11,67.4,551,1794,11
1794-12,51.4,552,1794,12
1795-01,21.4,553,1795,01
1795-02,39.9,554,1795,02
1795-03,12.6,555,1795,03
1795-04,18.6,556,1795,04
1795-05,31.0,557,1795,05
1795-06,17.1,558,1795,06
1795-07,12.9,559,1795,07
1795-08,25.7,560,1795,08
1795-09,13.5,561,1795,09
1795-10,19.5,562,1795,10
1795-11,25.0,563,1795,11
1795-12,18.0,564,1795,12
1796-01,22.0,565,1796,01
1796-02,23.8,566,1796,02
1796-03,15.7,567,1796,03
1796-04,31.7,568,1796,04
1796-05,21.0,569,1796,05
1796-06,6.7,570,1796,06
1796-07,26.9,571,1796,07
1796-08,1.5,572,1796,08
1796-09,18.4,573,1796,09
1796-10,11.0,574,1796,10
1796-11,8.4,575,1796,11
1796-12,5.1,576,1796,12
1797-01,14.4,577,1797,01
1797-02,4.2,578,1797,02
1797-03,4.0,579,1797,03
1797-04,4.0,580,1797,04
1797-05,7.3,581,1797,05
1797-06,11.1,582,1797,06
1797-07,4.3,583,1797,07
1797-08,6.0,584,1797,08
1797-09,5.7,585,1797,09
1797-10,6.9,586,1797,10
1797-11,5.8,587,1797,11
1797-12,3.0,588,1797,12
1798-01,2.0,589,1798,01
1798-02,4.0,590,1798,02
1798-03,12.4,591,1798,03
1798-04,1.1,592,1798,04
1798-05,0.0,593,1798,05
1798-06,0.0,594,1798,06
1798-07,0.0,595,1798,07
1798-08,3.0,596,1798,08
1798-09,2.4,597,1798,09
1798-10,1.5,598,1798,10
1798-11,12.5,599,1798,11
1798-12,9.9,600,1798,12
1799-01,1.6,601,1799,01
1799-02,12.6,602,1799,02
1799-03,21.7,603,1799,03
1799-04,8.4,604,1799,04
1799-05,8.2,605,1799,05
1799-06,10.6,606,1799,06
1799-07,2.1,607,1799,07
1799-08,0.0,608,1799,08
1799-09,0.0,609,1799,09
1799-10,4.6,610,1799,10
1799-11,2.7,611,1799,11
1799-12,8.6,612,1799,12
1800-01,6.9,613,1800,01
1800-02,9.3,614,1800,02
1800-03,13.9,615,1800,03
1800-04,0.0,616,1800,04
1800-05,5.0,617,1800,05
1800-06,23.7,618,1800,06
1800-07,21.0,619,1800,07
1800-08,19.5,620,1800,08
1800-09,11.5,621,1800,09
1800-10,12.3,622,1800,10
1800-11,10.5,623,1800,11
1800-12,40.1,624,1800,12
1801-01,27.0,625,1801,01
1801-02,29.0,626,1801,02
1801-03,30.0,627,1801,03
1801-04,31.0,628,1801,04
1801-05,32.0,629,1801,05
1801-06,31.2,630,1801,06
1801-07,35.0,631,1801,07
1801-08,38.7,632,1801,08
1801-09,33.5,633,1801,09
1801-10,32.6,634,1801,10
1801-11,39.8,635,1801,11
1801-12,48.2,636,1801,12
1802-01,47.8,637,1802,01
1802-02,47.0,638,1802,02
1802-03,40.8,639,1802,03
1802-04,42.0,640,1802,04
1802-05,44.0,641,1802,05
1802-06,46.0,642,1802,06
1802-07,48.0,643,1802,07
1802-08,50.0,644,1802,08
1802-09,51.8,645,1802,09
1802-10,38.5,646,1802,10
1802-11,34.5,647,1802,11
1802-12,50.0,648,1802,12
1803-01,50.0,649,1803,01
1803-02,50.8,650,1803,02
1803-03,29.5,651,1803,03
1803-04,25.0,652,1803,04
1803-05,44.3,653,1803,05
1803-06,36.0,654,1803,06
1803-07,48.3,655,1803,07
1803-08,34.1,656,1803,08
1803-09,45.3,657,1803,09
1803-10,54.3,658,1803,10
1803-11,51.0,659,1803,11
1803-12,48.0,660,1803,12
1804-01,45.3,661,1804,01
1804-02,48.3,662,1804,02
1804-03,48.0,663,1804,03
1804-04,50.6,664,1804,04
1804-05,33.4,665,1804,05
1804-06,34.8,666,1804,06
1804-07,29.8,667,1804,07
1804-08,43.1,668,1804,08
1804-09,53.0,669,1804,09
1804-10,62.3,670,1804,10
1804-11,61.0,671,1804,11
1804-12,60.0,672,1804,12
1805-01,61.0,673,1805,01
1805-02,44.1,674,1805,02
1805-03,51.4,675,1805,03
1805-04,37.5,676,1805,04
1805-05,39.0,677,1805,05
1805-06,40.5,678,1805,06
1805-07,37.6,679,1805,07
1805-08,42.7,680,1805,08
1805-09,44.4,681,1805,09
1805-10,29.4,682,1805,10
1805-11,41.0,683,1805,11
1805-12,38.3,684,1805,12
1806-01,39.0,685,1806,01
1806-02,29.6,686,1806,02
1806-03,32.7,687,1806,03
1806-04,27.7,688,1806,04
1806-05,26.4,689,1806,05
1806-06,25.6,690,1806,06
1806-07,30.0,691,1806,07
1806-08,26.3,692,1806,08
1806-09,24.0,693,1806,09
1806-10,27.0,694,1806,10
1806-11,25.0,695,1806,11
1806-12,24.0,696,1806,12
1807-01,12.0,697,1807,01
1807-02,12.2,698,1807,02
1807-03,9.6,699,1807,03
1807-04,23.8,700,1807,04
1807-05,10.0,701,1807,05
1807-06,12.0,702,1807,06
1807-07,12.7,703,1807,07
1807-08,12.0,704,1807,08
1807-09,5.7,705,1807,09
1807-10,8.0,706,1807,10
1807-11,2.6,707,1807,11
1807-12,0.0,708,1807,12
1808-01,0.0,709,1808,01
1808-02,4.5,710,1808,02
1808-03,0.0,711,1808,03
1808-04,12.3,712,1808,04
1808-05,13.5,713,1808,05
1808-06,13.5,714,1808,06
1808-07,6.7,715,1808,07
1808-08,8.0,716,1808,08
1808-09,11.7,717,1808,09
1808-10,4.7,718,1808,10
1808-11,10.5,719,1808,11
1808-12,12.3,720,1808,12
1809-01,7.2,721,1809,01
1809-02,9.2,722,1809,02
1809-03,0.9,723,1809,03
